text,label,category
"계약 기간은 2026년 7월 1일부터 2027년 6월 30일까지 1년으로 한다.",0,"일반 조항"
"본 계약의 목적은 용역의 범위와 대금 지급 조건을 정하는 데 있다.",0,"일반 조항"
"갑은 을에게 월 보수 250만 원을 매월 말일 지급한다.",0,"일반 조항"
"임대인은 임차인에게 목적물을 계약 시작일에 인도한다.",0,"일반 조항"
"근로 시간은 주 40시간을 원칙으로 하며 휴게 시간은 별도로 부여한다.",0,"일반 조항"
"계약 당사자는 상호 협의하여 업무 일정을 조정할 수 있다.",0,"일반 조항"
"용역 결과물의 제출 기한은 별지 일정표에 따른다.",0,"일반 조항"
"임차인은 목적물을 주거 목적으로만 사용한다.",0,"일반 조항"
"계약금은 계약 체결일에 지급하고 잔금은 입주일에 지급한다.",0,"일반 조항"
"양 당사자는 계약 내용을 성실히 이행하여야 한다.",0,"일반 조항"
"비밀 정보는 계약 목적 범위 안에서만 사용한다.",0,"일반 조항"
"계약 변경은 양 당사자의 서면 합의로 한다.",0,"일반 조항"
"업무 범위는 첨부된 과업지시서에 따른다.",0,"일반 조항"
"검수 기간은 결과물 제출일로부터 7영업일 이내로 한다.",0,"일반 조항"
"갑은 검수 결과를 을에게 서면 또는 전자우편으로 통지한다.",0,"일반 조항"
"임대차 보증금은 계약 종료 후 목적물 반환과 동시에 반환한다.",0,"일반 조항"
"수습 기간은 3개월로 하며 임금 조건은 근로계약서에 명시한다.",0,"일반 조항"
"계약 당사자의 주소와 연락처는 계약서 말미에 기재한다.",0,"일반 조항"
"대금 지급 계좌는 을이 지정한 계좌로 한다.",0,"일반 조항"
"계약 해지는 상대방에게 30일 전에 서면으로 통지하여야 한다.",0,"일반 조항"
"하자 보수 기간은 납품 완료 후 30일로 한다.",0,"일반 조항"
"개인정보는 관련 법령에 따라 안전하게 관리한다.",0,"일반 조항"
"계약서에 정하지 않은 사항은 민법과 관련 법령에 따른다.",0,"일반 조항"
"임차인은 통상적인 사용으로 인한 마모에 대하여 책임지지 않는다.",0,"일반 조항"
"연차 휴가는 근로기준법에 따라 부여한다.",0,"일반 조항"
"용역 수행 장소는 원격 근무를 원칙으로 한다.",0,"일반 조항"
"세금계산서는 대금 지급 전까지 발행한다.",0,"일반 조항"
"갑과 을은 분쟁 발생 시 우선 협의로 해결하기 위해 노력한다.",0,"일반 조항"
"계약 만료 15일 전까지 갱신 여부를 상호 협의한다.",0,"일반 조항"
"지체가 발생한 경우 당사자는 지체 사유와 예상 완료일을 통지한다.",0,"일반 조항"
"을은 업무 수행 중 알게 된 정보를 제3자에게 누설하지 않는다.",0,"일반 조항"
"갑은 업무 수행에 필요한 자료를 을에게 제공한다.",0,"일반 조항"
"계약 대금에는 부가가치세가 별도로 적용된다.",0,"일반 조항"
"목적물의 인도 일시는 양 당사자가 협의하여 정한다.",0,"일반 조항"
"계약서 사본은 갑과 을이 각 1부씩 보관한다.",0,"일반 조항"
"납품 형식은 전자 파일로 하며 세부 규격은 별지에 따른다.",0,"일반 조항"
"업무 진행 상황은 주 1회 전자우편으로 공유한다.",0,"일반 조항"
"계약 기간 중 연락 담당자는 별도 지정된 사람으로 한다.",0,"일반 조항"
"임차인은 시설 고장을 발견한 경우 임대인에게 즉시 통지한다.",0,"일반 조항"
"퇴직금은 관련 법령의 요건을 충족하는 경우 지급한다.",0,"일반 조항"
"갑과 을은 상호 존중의 원칙에 따라 계약을 이행한다.",0,"일반 조항"
"본 계약의 부속 문서는 계약서와 동일한 효력을 가진다.",0,"일반 조항"
"검수 결과 보완이 필요한 경우 을은 합리적인 기간 내 보완한다.",0,"일반 조항"
"임대인은 목적물의 기본 설비가 정상 작동하도록 관리한다.",0,"일반 조항"
"업무상 필요한 회의 일정은 사전에 협의하여 정한다.",0,"일반 조항"
"계약 종료 후 미지급 대금은 정해진 지급일에 정산한다.",0,"일반 조항"
